OTU,p,c,o,f,g,summay
Zotu114,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Methylobacteriaceae,g:Methylobacterium,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Methylobacteriaceae g:Methylobacterium
Zotu1140,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1141,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae "
Zotu1142,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1143,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Dyadobacter,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Dyadobacter
Zotu1144,,,,,,    
Zotu1145,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1146,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Rugamonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Rugamonas
Zotu1147,p:Chloroflexi,c:Caldilineae,o:Caldilineales,f:Caldilineaceae,,p:Chloroflexi c:Caldilineae o:Caldilineales f:Caldilineaceae 
Zotu1148,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1149,p:Proteobacteria,c:Betaproteobacteria,,,,p:Proteobacteria c:Betaproteobacteria   
Zotu115,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu1150,p:Proteobacteria,c:Alphaproteobacteria,o:Rickettsiales,f:Rickettsiaceae,g:Rickettsia,p:Proteobacteria c:Alphaproteobacteria o:Rickettsiales f:Rickettsiaceae g:Rickettsia
Zotu1151,,,,,,    
Zotu1152,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1153,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1154,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Terrimonas,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Terrimonas"
Zotu1155,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu1156,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1157,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1158,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae 
Zotu1159,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu116,p:Cyanobacteria/Chloroplast,c:Chloroplast,f:Chloroplast,g:Bacillariophyta,,p:Cyanobacteria/Chloroplast c:Chloroplast f:Chloroplast g:Bacillariophyta 
Zotu1160,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1161,p:Proteobacteria,c:Gammaproteobacteria,o:Thiotrichales,f:Thiotrichaceae,g:Thiothrix,p:Proteobacteria c:Gammaproteobacteria o:Thiotrichales f:Thiotrichaceae g:Thiothrix
Zotu1162,p:Chloroflexi,c:Caldilineae,o:Caldilineales,f:Caldilineaceae,,p:Chloroflexi c:Caldilineae o:Caldilineales f:Caldilineaceae 
Zotu1163,,,,,,    
Zotu1164,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,g:Brevundimonas,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae g:Brevundimonas
Zotu1165,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1166,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1167,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Rugamonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Rugamonas
Zotu1168,,,,,,    
Zotu1169,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Heliimonas,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Heliimonas"
Zotu117,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1170,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,f:Acidimicrobiaceae,,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales f:Acidimicrobiaceae 
Zotu1171,,,,,,    
Zotu1172,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Sphingobacteriaceae,g:Pedobacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Sphingobacteriaceae g:Pedobacter"
Zotu1173,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Nocardiaceae,g:Rhodococcus,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Nocardiaceae g:Rhodococcus
Zotu1174,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Acidovorax
Zotu1175,,,,,,    
Zotu1176,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Hyphomonadaceae,g:Hyphomonas,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Hyphomonadaceae g:Hyphomonas
Zotu1177,p:Proteobacteria,c:Alphaproteobacteria,o:Caulobacterales,f:Caulobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Caulobacterales f:Caulobacteraceae 
Zotu1178,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1179,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu118,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Flectobacillus,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Flectobacillus
Zotu1180,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1181,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1182,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiaceae,g:Polynucleobacter,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiaceae g:Polynucleobacter
Zotu1183,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1184,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,g:Rhodobacter,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae g:Rhodobacter
Zotu1185,p:Planctomycetes,c:Planctomycetia,,,,p:Planctomycetes c:Planctomycetia   
Zotu1186,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1187,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae 
Zotu1188,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1189,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu119,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Acidovorax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Acidovorax
Zotu1190,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1191,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1192,p:Verrucomicrobia,c:Subdivision3,g:Subdivision3_genera_incertae_sedis,,,p:Verrucomicrobia c:Subdivision3 g:Subdivision3_genera_incertae_sedis  
Zotu1193,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Novosphingobium,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Novosphingobium
Zotu1194,,,,,,    
Zotu1195,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1196,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae 
Zotu1197,p:Verrucomicrobia,c:Subdivision3,g:Subdivision3_genera_incertae_sedis,,,p:Verrucomicrobia c:Subdivision3 g:Subdivision3_genera_incertae_sedis  
Zotu1198,,,,,,    
Zotu1199,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Erythrobacteraceae,g:Porphyrobacter,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Erythrobacteraceae g:Porphyrobacter
Zotu12,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,g:Emticicia,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae g:Emticicia
Zotu120,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1200,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1201,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1202,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cytophagaceae,,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cytophagaceae 
Zotu1203,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Methyloversatilis,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Methyloversatilis
Zotu1204,p:Actinobacteria,c:Actinobacteria,,,,p:Actinobacteria c:Actinobacteria   
Zotu1205,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Zoogloea,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Zoogloea
Zotu1206,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Mycobacteriaceae,g:Mycobacterium,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Mycobacteriaceae g:Mycobacterium
Zotu1207,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Sphingobacteriaceae,g:Pedobacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Sphingobacteriaceae g:Pedobacter"
Zotu1208,,,,,,    
Zotu1209,p:Chloroflexi,c:Caldilineae,,,,p:Chloroflexi c:Caldilineae   
Zotu121,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu1210,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae 
Zotu1211,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae 
Zotu1212,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1213,,,,,,    
Zotu1214,,,,,,    
Zotu1215,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodobacterales,f:Rhodobacteraceae,,p:Proteobacteria c:Alphaproteobacteria o:Rhodobacterales f:Rhodobacteraceae 
Zotu1216,p:Proteobacteria,c:Alphaproteobacteria,o:Rhodospirillales,f:Rhodospirillaceae,g:Azospirillum,p:Proteobacteria c:Alphaproteobacteria o:Rhodospirillales f:Rhodospirillaceae g:Azospirillum
Zotu1217,p:Verrucomicrobia,c:Subdivision3,g:Subdivision3_genera_incertae_sedis,,,p:Verrucomicrobia c:Subdivision3 g:Subdivision3_genera_incertae_sedis  
Zotu1218,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1219,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Pelomonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Pelomonas
Zotu122,p:Proteobacteria,c:Betaproteobacteria,o:Methylophilales,f:Methylophilaceae,,p:Proteobacteria c:Betaproteobacteria o:Methylophilales f:Methylophilaceae 
Zotu1220,p:Spirochaetes,c:Spirochaetia,o:Spirochaetales,f:Leptospiraceae,g:Turneriella,p:Spirochaetes c:Spirochaetia o:Spirochaetales f:Leptospiraceae g:Turneriella
Zotu1221,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1222,p:Proteobacteria,c:Gammaproteobacteria,o:Xanthomonadales,f:Sinobacteraceae,g:Nevskia,p:Proteobacteria c:Gammaproteobacteria o:Xanthomonadales f:Sinobacteraceae g:Nevskia
Zotu1223,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu1224,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1225,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,,,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales  
Zotu1226,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1227,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1228,,,,,,    
Zotu1229,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Pelomonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Pelomonas
Zotu123,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Undibacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Undibacterium
Zotu1230,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1231,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1232,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Sediminibacterium,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Sediminibacterium"
Zotu1233,p:Proteobacteria,c:Deltaproteobacteria,o:Bdellovibrionales,f:Bacteriovoracaceae,g:Bacteriovorax,p:Proteobacteria c:Deltaproteobacteria o:Bdellovibrionales f:Bacteriovoracaceae g:Bacteriovorax
Zotu1234,p:Verrucomicrobia,,,,,p:Verrucomicrobia    
Zotu1235,,,,,,    
Zotu1236,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1237,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1238,p:Bacteroidetes,c:Sphingobacteriia,"o:""Sphingobacteriales""",f:Chitinophagaceae,g:Ferruginibacter,"p:Bacteroidetes c:Sphingobacteriia o:""Sphingobacteriales"" f:Chitinophagaceae g:Ferruginibacter"
Zotu1239,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu124,p:Proteobacteria,c:Deltaproteobacteria,o:Myxococcales,,,p:Proteobacteria c:Deltaproteobacteria o:Myxococcales  
Zotu1240,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Rhizobiaceae,g:Rhizobium,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Rhizobiaceae g:Rhizobium
Zotu1241,p:Verrucomicrobia,,,,,p:Verrucomicrobia    
Zotu1242,p:Actinobacteria,c:Actinobacteria,,,,p:Actinobacteria c:Actinobacteria   
Zotu1243,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1244,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1245,p:Firmicutes,c:Clostridia,,,,p:Firmicutes c:Clostridia   
Zotu1246,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Cloacibacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Cloacibacterium"
Zotu1247,p:Parcubacteria,,,,,p:Parcubacteria    
Zotu1248,p:Chlamydiae,c:Chlamydiia,o:Chlamydiales,,,p:Chlamydiae c:Chlamydiia o:Chlamydiales  
Zotu1249,,,,,,    
Zotu125,p:Proteobacteria,c:Alphaproteobacteria,o:Sphingomonadales,f:Sphingomonadaceae,g:Sphingorhabdus,p:Proteobacteria c:Alphaproteobacteria o:Sphingomonadales f:Sphingomonadaceae g:Sphingorhabdus
Zotu1250,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae 
Zotu1251,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1252,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1253,p:Planctomycetes,c:Planctomycetia,o:Planctomycetales,f:Planctomycetaceae,,p:Planctomycetes c:Planctomycetia o:Planctomycetales f:Planctomycetaceae 
Zotu1254,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Arcobacter,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Arcobacter
Zotu1255,p:Proteobacteria,c:Gammaproteobacteria,o:Aeromonadales,f:Aeromonadaceae,g:Aeromonas,p:Proteobacteria c:Gammaproteobacteria o:Aeromonadales f:Aeromonadaceae g:Aeromonas
Zotu1256,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1257,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Cloacibacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Cloacibacterium"
Zotu1258,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu1259,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae g:Prosthecobacter
Zotu126,p:Parcubacteria,g:Parcubacteria_genera_incertae_sedis,,,,p:Parcubacteria g:Parcubacteria_genera_incertae_sedis   
Zotu1260,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,,,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales  
Zotu1261,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Rhodoferax,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Rhodoferax
Zotu1262,p:Bacteroidetes,,,,,p:Bacteroidetes    
Zotu1263,p:Proteobacteria,c:Epsilonproteobacteria,o:Campylobacterales,f:Campylobacteraceae,g:Sulfurospirillum,p:Proteobacteria c:Epsilonproteobacteria o:Campylobacterales f:Campylobacteraceae g:Sulfurospirillum
Zotu1264,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1265,,,,,,    
Zotu1266,p:Acidobacteria,c:Holophagae,o:Holophagales,f:Holophagaceae,g:Geothrix,p:Acidobacteria c:Holophagae o:Holophagales f:Holophagaceae g:Geothrix
Zotu1267,p:Proteobacteria,c:Alphaproteobacteria,,,,p:Proteobacteria c:Alphaproteobacteria   
Zotu1268,p:Actinobacteria,c:Actinobacteria,,,,p:Actinobacteria c:Actinobacteria   
Zotu1269,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae 
Zotu127,p:Candidatus_Saccharibacteria,g:Saccharibacteria_genera_incertae_sedis,,,,p:Candidatus_Saccharibacteria g:Saccharibacteria_genera_incertae_sedis   
Zotu1270,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1271,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Burkholderiales_incertae_sedis,g:Aquabacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Burkholderiales_incertae_sedis g:Aquabacterium
Zotu1272,p:Bacteroidetes,c:Cytophagia,o:Cytophagales,f:Cyclobacteriaceae,g:Algoriphagus,p:Bacteroidetes c:Cytophagia o:Cytophagales f:Cyclobacteriaceae g:Algoriphagus
Zotu1273,p:Verrucomicrobia,c:Verrucomicrobiae,o:Verrucomicrobiales,f:Verrucomicrobiaceae,g:Prosthecobacter,p:Verrucomicrobia c:Verrucomicrobiae o:Verrucomicrobiales f:Verrucomicrobiaceae g:Prosthecobacter
Zotu1274,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Comamonadaceae,g:Comamonas,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Comamonadaceae g:Comamonas
Zotu1275,p:Proteobacteria,c:Alphaproteobacteria,o:Rhizobiales,f:Xanthobacteraceae,g:Ancylobacter,p:Proteobacteria c:Alphaproteobacteria o:Rhizobiales f:Xanthobacteraceae g:Ancylobacter
Zotu1276,p:Proteobacteria,c:Betaproteobacteria,o:Burkholderiales,f:Oxalobacteraceae,g:Undibacterium,p:Proteobacteria c:Betaproteobacteria o:Burkholderiales f:Oxalobacteraceae g:Undibacterium
Zotu1277,p:Proteobacteria,,,,,p:Proteobacteria    
Zotu1278,p:Actinobacteria,c:Actinobacteria,o:Acidimicrobiales,f:Acidimicrobiaceae,g:Ilumatobacter,p:Actinobacteria c:Actinobacteria o:Acidimicrobiales f:Acidimicrobiaceae g:Ilumatobacter
Zotu1279,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Pseudomonadaceae,g:Pseudomonas,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Pseudomonadaceae g:Pseudomonas
Zotu128,p:Proteobacteria,c:Gammaproteobacteria,o:Pseudomonadales,f:Moraxellaceae,g:Acinetobacter,p:Proteobacteria c:Gammaproteobacteria o:Pseudomonadales f:Moraxellaceae g:Acinetobacter
Zotu1280,p:Cyanobacteria/Chloroplast,,,,,p:Cyanobacteria/Chloroplast    
Zotu1281,p:Actinobacteria,c:Actinobacteria,o:Actinomycetales,f:Intrasporangiaceae,,p:Actinobacteria c:Actinobacteria o:Actinomycetales f:Intrasporangiaceae 
Zotu1282,p:Bacteroidetes,c:Flavobacteriia,"o:""Flavobacteriales""",f:Flavobacteriaceae,g:Flavobacterium,"p:Bacteroidetes c:Flavobacteriia o:""Flavobacteriales"" f:Flavobacteriaceae g:Flavobacterium"
Zotu1283,p:Proteobacteria,c:Betaproteobacteria,o:Rhodocyclales,f:Rhodocyclaceae,g:Dechloromonas,p:Proteobacteria c:Betaproteobacteria o:Rhodocyclales f:Rhodocyclaceae g:Dechloromonas
Zotu1284,p:Proteobacteria,c:Gammaproteobacteria,,,,p:Proteobacteria c:Gammaproteobacteria   
Zotu1285,p:Proteobacteria,c:Betaproteobacteria,o:Neisseriales,f:Neisseriaceae,g:Aquaspirillum,p:Proteobacteria c:Betaproteobacteria o:Neisseriales f:Neisseriaceae g:Aquaspirillum
